# HeaderRows_10,,,,,,,,,,,,
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary,,,,,,,,,,,,
# Date; YYYY-MM-DD; See_Column_InstallationMethod_ID; Manually recorded with PST calibrated watch.,,,,,,,,,,,,
# Time_Start; hh:mm UTC-08:00; See_Column_InstallationMethod_ID; Manually recorded with PST calibrated watch.,,,,,,,,,,,,
# Horizontal_Distance_To_Starting_Bank; centimeters; See_Column_InstallationMethod_ID; Meter tape.,,,,,,,,,,,,
# Water_Depth; centimeters; See_Column_InstallationMethod_ID; Swoffer MODEL 3000 Data Recording Current Meter and Flowmeter equipped with a wading rod.,,,,,,,,,,,,
# Velocity_1; meters_per_second; See_Column_InstallationMethod_ID; Swoffer MODEL 3000 Data Recording Current Meter and Flowmeter equipped with a wading rod.,,,,,,,,,,,,
# Velocity_2; meters_per_second; See_Column_InstallationMethod_ID; Swoffer MODEL 3000 Data Recording Current Meter and Flowmeter equipped with a wading rod.,,,,,,,,,,,,
# Velocity_3; meters_per_second; See_Column_InstallationMethod_ID; Swoffer MODEL 3000 Data Recording Current Meter and Flowmeter equipped with a wading rod.,,,,,,,,,,,,
Parent_ID,Site_ID,Date,Time_Start,Colocated_Depth_Transect_Number,Starting_Point,Point_Along_Transect,Horizontal_Distance_To_Starting_Bank,Water_Depth,Velocity_1,Velocity_2,Velocity_3,InstallationMethod_ID
SSF_01,S01,  2023-05-18,12:30,-9999,At_Sensor,A,-9999,85,1.981,1.954,1.969,Two-Tenths_Swoffer_01
SSF_01,S01,  2023-05-18,12:30,-9999,At_Sensor,A,-9999,85,1.759,1.934,1.811,Eight-Tenths_Swoffer_01
SSF_02,S02,  2023-05-18,12:00,-9999,At_Sensor,A,-9999,105,1.13,1.01,1.078,Two-Tenths_Swoffer_01
SSF_02,S02,  2023-05-18,12:00,-9999,At_Sensor,A,-9999,105,0.616,0.648,0.529,Eight-Tenths_Swoffer_01
SSF_04,S04,  2023-05-19,10:00,-9999,At_Sensor,A,-9999,68,2.192,2.041,1.911,Six-Tenths_Swoffer_01
SSF_10,S08,  2023-05-18,16:30,-9999,At_Sensor,A,-9999,100,0.967,0.839,0.884,Six-Tenths_Swoffer_01
SSF_03,S10,  2023-05-19,9:45,-9999,At_Sensor,A,-9999,85,1.379,1.249,1.333,Two-Tenths_Swoffer_01
SSF_03,S10,  2023-05-19,9:45,-9999,At_Sensor,A,-9999,85,0.67,0.7,0.773,Eight-Tenths_Swoffer_01
SSF_05,S11,  2023-05-18,10:45,-9999,At_Sensor,A,-9999,95,2.151,2.298,2.245,Two-Tenths_Swoffer_01
SSF_05,S11,  2023-05-18,10:45,-9999,At_Sensor,A,-9999,95,1.377,1.363,1.243,Eight-Tenths_Swoffer_01
SSF_14,S47R,  2023-05-19,13:00,-9999,At_Sensor,A,-9999,100,1.137,1.252,1.29,Two-Tenths_Swoffer_01
SSF_14,S47R,  2023-05-19,13:00,-9999,At_Sensor,A,-9999,100,0.789,0.781,0.817,Eight-Tenths_Swoffer_01
SSF_13,S49R,  2023-05-19,17:00,-9999,At_Sensor,A,-9999,94,1.326,1.359,1.465,Six-Tenths_Swoffer_01
SSF_15,T05P,  2023-05-18,14:00,-9999,At_Sensor,A,-9999,105,1.224,1.369,1.141,Two-Tenths_Swoffer_01
SSF_15,T05P,  2023-05-18,14:00,-9999,At_Sensor,A,-9999,105,0.822,0.917,0.825,Eight-Tenths_Swoffer_01
SSF_12,S54,  2023-05-19,14:25,-9999,Right_Bank,A,0,25,0.023,0.039,0.031,Six-Tenths_Swoffer_01
SSF_12,S54,  2023-05-19,14:25,-9999,Right_Bank,B,200,53,0.098,0.073,0.068,Six-Tenths_Swoffer_01
SSF_12,S54,  2023-05-19,14:25,-9999,Right_Bank,C,400,62,0.87,0.84,0.831,Six-Tenths_Swoffer_01
